gas, kocnica, volan 	 brzinaX, brzinaY, Ax, Ay  50, 0, 90	0, 0, , 0, 0, 194, 375, 00
0, 0, 90	0, 0, , 0, 0, 194, 374, 00
12, 4, 90	0, 0, , 0, 0, 194, 373, 00
90, 40, 90	0, 0, , 0, 0, 194, 372, 00
40, 80, 90	0, 0, , 0, 0, 194, 371, 00
20, 40, 90	0, 0, , 0, 0, 194, 370, 00
90, 5, 90	0, 0, , 0, 0, 194, 369, 00
0, 0, 90	0, 0, , 0, 0, 194, 368, 00
0, 12, 90	0, 0, , 0, 0, 194, 367, 00
0, 40, 90	0, 0, , 0, 0, 194, 366, 00
0, 20, 90	0, 0, , 0, 0, 194, 365, 00
20, 4, 90	0, 0, , 0, 0, 194, 364, 00
100, 12, 90	0, 0, , 0, 0, 194, 363, 00
45, 21, 78	49, 49, , 0, 0, 194, 362, 44
0, 0, 78	49, 49, , 49, 49, 692, -136, 00
0, 0, 78	49, 49, , 49, 49, 1190, -634, 00
0, 0, 78	49, 49, , 49, 49, 1688, -1132, 00
0, 0, 78	49, 49, , 49, 49, 2186, -1630, 00
0, 0, 78	49, 49, , 49, 49, 2684, -2128, 00
0, 0, 78	49, 49, , 49, 49, 3182, -2626, 00
0, 0, 78	49, 49, , 49, 49, 3680, -3124, 00
10, 0, 78	70, 70, , 49, 49, 4178, -3622, 22
0, 10, 78	49, 49, , 70, 70, 4884, -4328, -2-2
0, 0, 78	49, 49, , 49, 49, 5382, -4826, 00
0, 0, 78	49, 49, , 49, 49, 5880, -5324, 00
0, 0, 78	49, 49, , 49, 49, 6378, -5822, 00
0, 0, 78	49, 49, , 49, 49, 6876, -6320, 00
25, 8, 90	49, 49, , 49, 49, 7374, -6818, 00
45, 0, 90	49, 49, , 49, 49, 7872, -7316, 00
60, 0, 90	49, 49, , 49, 49, 8370, -7814, 00
90, 12, 90	49, 49, , 49, 49, 8868, -8312, 00
45, 0, 45	368, 368, , 49, 49, 9366, -8810, 3131
0, 0, 45	368, 368, , 368, 368, 13046, -12490, 00
0, 0, 45	368, 368, , 368, 368, 16726, -16170, 00
0, 0, 45	368, 368, , 368, 368, 20406, -19850, 00
0, 0, 45	368, 368, , 368, 368, 24086, -23530, 00
0, 0, 45	368, 368, , 368, 368, 27766, -27210, 00
0, 0, 45	368, 368, , 368, 368, 31446, -30890, 00
0, 0, 45	368, 368, , 368, 368, 35126, -34570, 00
0, 0, 45	368, 368, , 368, 368, 38806, -38250, 00
0, 0, 45	368, 368, , 368, 368, 42486, -41930, 00
0, 0, 45	368, 368, , 368, 368, 46166, -45610, 00
45, 0, 90	368, 368, , 368, 368, 49846, -49290, 00
45, 0, 90	368, 368, , 368, 368, 53526, -52970, 00
45, 0, 90	368, 368, , 368, 368, 57206, -56650, 00
45, 0, 90	368, 368, , 368, 368, 60886, -60330, 00
45, 0, 90	368, 368, , 368, 368, 64566, -64010, 00
45, 0, 90	368, 368, , 368, 368, 68246, -67690, 00
45, 0, 90	368, 368, , 368, 368, 71926, -71370, 00
45, 0, 90	368, 368, , 368, 368, 75606, -75050, 00
45, 0, 90	368, 368, , 368, 368, 79286, -78730, 00
45, 0, 90	368, 368, , 368, 368, 82966, -82410, 00
45, 0, 90	368, 368, , 368, 368, 86646, -86090, 00
45, 0, 90	368, 368, , 368, 368, 90326, -89770, 00
45, 0, 90	368, 368, , 368, 368, 94006, -93450, 00
45, 0, 90	368, 368, , 368, 368, 97686, -97130, 00
45, 0, 90	368, 368, , 368, 368, 101366, -100810, 00
45, 0, 90	368, 368, , 368, 368, 105046, -104490, 00
45, 0, 90	368, 368, , 368, 368, 108726, -108170, 00
45, 0, 90	368, 368, , 368, 368, 112406, -111850, 00
45, 0, 90	368, 368, , 368, 368, 116086, -115530, 00
45, 0, 90	368, 368, , 368, 368, 119766, -119210, 00
45, 0, 90	368, 368, , 368, 368, 123446, -122890, 00
45, 0, 90	368, 368, , 368, 368, 127126, -126570, 00
45, 0, 90	368, 368, , 368, 368, 130806, -130250, 00
